school_id,school_name,district,city,county,enrollment,tract,chronic_disease_prev,hpsa_primary_care_max,respiratory_activity,score_hpsa,score_chronic,score_air_q,score_hazard,score_respiratory,readiness_score
120190001022,Oakleaf Junior High School,Clay County School District,Orange Park,Clay,1020,12019030205,19.0,17,Minimal,20.400000000000002,11.4,0.0,0.0,2.0,33.8
120190001023,Plantation Oaks Elementary School,Clay County School District,Orange Park,Clay,740,12019030205,19.0,17,Minimal,20.400000000000002,11.4,0.0,0.0,2.0,33.8
120190001020,Charles E. Bennett Elementary,Clay County School District,Green Cove Springs,Clay,520,12019031202,18.933333333333334,17,Minimal,20.400000000000002,11.36,0.0,0.0,2.0,33.8
120190001025,Robert M. Paterson Elementary,Clay County School District,Orange Park,Clay,610,12019030801,18.666666666666668,17,Minimal,20.400000000000002,11.200000000000001,0.0,0.0,2.0,33.6
120190001028,Orange Park Elementary School,Clay County School District,Orange Park,Clay,550,12019030801,18.666666666666668,17,Minimal,20.400000000000002,11.200000000000001,0.0,0.0,2.0,33.6
120190001015,Lake Asbury Elementary School,Clay County School District,Green Cove Springs,Clay,620,12019031203,18.466666666666665,17,Minimal,20.400000000000002,11.079999999999998,0.0,0.0,2.0,33.5
120190001006,McRae Elementary School,Clay County School District,Orange Park,Clay,540,12019030208,17.23333333333333,17,Minimal,20.400000000000002,10.339999999999998,0.0,0.0,2.0,32.7
121090001002,Palencia Elementary School,St. Johns County School District,St. Augustine,St. Johns,640,12109020606,17.066666666666666,17,Minimal,20.400000000000002,10.24,0.0,0.0,2.0,32.6
121090000001,St. Augustine High School,St. Johns County School District,St. Augustine,St. Johns,1600,12109020903,16.366666666666667,17,Minimal,20.400000000000002,9.82,0.0,0.0,2.0,32.2
121090001018,Crookshank Elementary School,St. Johns County School District,St. Augustine,St. Johns,360,12109020400,16.366666666666667,17,Minimal,20.400000000000002,9.82,0.0,0.0,2.0,32.2
121090001017,Ketterlinus Elementary School,St. Johns County School District,St. Augustine,St. Johns,380,12109020400,16.366666666666667,17,Minimal,20.400000000000002,9.82,0.0,0.0,2.0,32.2
121090001001,R.B. Hunt Elementary School,St. Johns County School District,St. Augustine,St. Johns,580,12109020906,16.099999999999998,17,Minimal,20.400000000000002,9.659999999999998,0.0,0.0,2.0,32.1
121090000008,Sebastian Middle School,St. Johns County School District,St. Augustine,St. Johns,920,12109020904,15.833333333333334,17,Minimal,20.400000000000002,9.5,0.0,0.0,2.0,31.9
121090001010,Wards Creek Elementary School,St. Johns County School District,St. Augustine,St. Johns,680,12109020904,15.833333333333334,17,Minimal,20.400000000000002,9.5,0.0,0.0,2.0,31.9
121090000002,Bartram Trail High School,St. Johns County School District,St. Johns,St. Johns,2400,12109020807,15.0,17,Minimal,20.400000000000002,9.0,0.0,0.0,2.0,31.4
121090000003,Creekside High School,St. Johns County School District,St. Johns,St. Johns,2300,12109020810,14.733333333333334,17,Minimal,20.400000000000002,8.84,0.0,0.0,2.0,31.2
121090001016,Ocean Palms Elementary School,St. Johns County School District,Ponte Vedra Beach,St. Johns,610,12109020706,14.4,17,Minimal,20.400000000000002,8.64,0.0,0.0,2.0,31.0
121090000004,Nease High School,St. Johns County School District,Ponte Vedra,St. Johns,2250,12109020605,14.266666666666666,17,Minimal,20.400000000000002,8.56,0.0,0.0,2.0,31.0
121090000009,Liberty Pines Academy,St. Johns County School District,St. Johns,St. Johns,850,12109020801,14.199999999999998,17,Minimal,20.400000000000002,8.52,0.0,0.0,2.0,30.9
121090001004,Fruit Cove Middle School,St. Johns County School District,St. Johns,St. Johns,890,12109020801,14.199999999999998,17,Minimal,20.400000000000002,8.52,0.0,0.0,2.0,30.9
121090000006,Tocoi Creek High School,St. Johns County School District,St. Johns,St. Johns,1800,12109020801,14.199999999999998,17,Minimal,20.400000000000002,8.52,0.0,0.0,2.0,30.9
121090001011,Durbin Creek Elementary School,St. Johns County School District,St. Johns,St. Johns,720,12109020808,14.1,17,Minimal,20.400000000000002,8.459999999999999,0.0,0.0,2.0,30.9
120310001027,West Riverside Elementary School,Duval County School District,Jacksonville,Duval,410,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001026,Ramona Boulevard Elementary School,Duval County School District,Jacksonville,Duval,480,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001023,Venetia Elementary School,Duval County School District,Jacksonville,Duval,510,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001021,Greenfield Elementary School,Duval County School District,Jacksonville,Duval,540,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001028,Lackawanna Alternative Education Center,Duval County School District,Jacksonville,Duval,320,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001014,Timucuan Elementary School,Duval County School District,Jacksonville,Duval,550,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001019,Chaffee Trail Elementary School,Duval County School District,Jacksonville,Duval,620,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000015,Terry Parker High School,Duval County School District,Jacksonville,Duval,1650,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000017,Ed White High School,Duval County School District,Jacksonville,Duval,1550,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000019,Baldwin Middle-Senior High School,Duval County School District,Baldwin,Duval,800,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001003,Love Grove Elementary School,Duval County School District,Jacksonville,Duval,520,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001011,Greenland Pines Elementary School,Duval County School District,Jacksonville,Duval,590,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001013,Gregory Drive Elementary School,Duval County School District,Jacksonville,Duval,500,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000024,Kirby-Smith Middle School,Duval County School District,Jacksonville,Duval,780,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000025,Lake Shore Middle School,Duval County School District,Jacksonville,Duval,920,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001018,Brookview Elementary School,Duval County School District,Jacksonville,Duval,490,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120890000004,Yulee Middle School,Nassau County School District,Yulee,Nassau,680,12089050304,18.833333333333332,11,Minimal,13.2,11.299999999999999,0.0,0.0,2.0,26.5
120890000003,Yulee High School,Nassau County School District,Yulee,Nassau,1200,12089050304,18.833333333333332,11,Minimal,13.2,11.299999999999999,0.0,0.0,2.0,26.5
120890001002,Yulee Primary School,Nassau County School District,Yulee,Nassau,480,12089050304,18.833333333333332,11,Minimal,13.2,11.299999999999999,0.0,0.0,2.0,26.5
120890000005,Fernandina Beach Middle School,Nassau County School District,Fernandina Beach,Nassau,550,12089050204,16.633333333333333,11,Minimal,13.2,9.98,0.0,0.0,2.0,25.2
120190001024,Rideout Elementary School,Clay County School District,Green Cove Springs,Clay,480,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190000004,Oakleaf High School,Clay County School District,Orange Park,Clay,2500,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190000007,Orange Park Junior High School,Clay County School District,Orange Park,Clay,980,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190000002,Ridgeview High School,Clay County School District,Orange Park,Clay,1850,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190000001,Orange Park High School,Clay County School District,Orange Park,Clay,2100,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001012,Switzerland Point Middle School,St. Johns County School District,St. Johns,St. Johns,920,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001013,Alice B. Landrum Middle School,St. Johns County School District,Ponte Vedra Beach,St. Johns,880,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001014,Pacetti Bay Middle School,St. Johns County School District,St. Augustine,St. Johns,850,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190000009,Fleming Island High School,Clay County School District,Fleming Island,Clay,2200,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090000005,Pedro Menendez High School,St. Johns County School District,St. Augustine,St. Johns,1500,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090000007,Ponte Vedra High School,St. Johns County School District,Ponte Vedra Beach,St. Johns,1650,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001026,Swimming Pen Creek Elementary,Clay County School District,Orange Park,Clay,770,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001015,Mill Creek Elementary School,St. Johns County School District,St. Augustine,St. Johns,640,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190000003,Middleburg High School,Clay County School District,Middleburg,Clay,1600,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001008,Oakleaf Village Elementary School,Clay County School District,Orange Park,Clay,710,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001005,Fleming Island Elementary School,Clay County School District,Fleming Island,Clay,670,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001001,W.E. Cherry Elementary School,Clay County School District,Orange Park,Clay,520,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001006,Hickory Creek Elementary School,St. Johns County School District,St. Johns,St. Johns,650,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001007,Patriot Oaks Academy,St. Johns County School District,St. Johns,St. Johns,720,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001008,Valley Ridge Academy,St. Johns County School District,St. Johns,St. Johns,630,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001009,Julington Creek Elementary School,St. Johns County School District,St. Johns,St. Johns,710,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001003,Webster Elementary School,St. Johns County School District,St. Augustine,St. Johns,520,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001021,Middleburg Elementary School,Clay County School District,Middleburg,Clay,560,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001009,Thunderbolt Elementary School,Clay County School District,Orange Park,Clay,560,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001010,Montclair Elementary School,Clay County School District,Jacksonville,Clay,630,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001011,S. Bryan Jennings Elementary,Clay County School District,Middleburg,Clay,590,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001012,Jack L. Wilkinson Junior High School,Clay County School District,Orange Park,Clay,940,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120030000005,Westside Elementary School,Baker County School District,Macclenny,Baker,380,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120030000002,Baker County Middle School,Baker County School District,Macclenny,Baker,620,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120030000001,Baker County High School,Baker County School District,Glen St. Mary,Baker,750,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120190001003,Ridgeview Elementary School,Clay County School District,Orange Park,Clay,580,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
121090001005,Cunningham Creek Elementary School,St. Johns County School District,St. Johns,St. Johns,690,,,17,Minimal,20.400000000000002,0.0,0.0,0.0,2.0,22.4
120890001004,Hilliard Elementary School,Nassau County School District,Hilliard,Nassau,310,,,11,Minimal,13.2,0.0,0.0,0.0,2.0,15.2
120890001003,Callahan Elementary School,Nassau County School District,Callahan,Nassau,380,,,11,Minimal,13.2,0.0,0.0,0.0,2.0,15.2
120890001001,Emma Love Hardee Elementary School,Nassau County School District,Fernandina Beach,Nassau,420,,,11,Minimal,13.2,0.0,0.0,0.0,2.0,15.2
120890000001,Fernandina Beach High School,Nassau County School District,Fernandina Beach,Nassau,900,,,11,Minimal,13.2,0.0,0.0,0.0,2.0,15.2
120890000002,West Nassau High School,Nassau County School District,Callahan,Nassau,750,,,11,Minimal,13.2,0.0,0.0,0.0,2.0,15.2
120890001005,Bryceville Elementary School,Nassau County School District,Bryceville,Nassau,280,,,11,Minimal,13.2,0.0,0.0,0.0,2.0,15.2
